feature_columns,target_columns,train_mse,train_mae,train_rmse,train_mape,train_mse_per_target,test_mse,test_mae,test_rmse,test_mape,test_mse_per_target
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[287.54741536858756, 466.3538656427664, 123.08629206416587]","[14.188518346187408, 17.415934940463742, 9.555785055357095]","[16.95722310310823, 21.595227844196653, 11.094426171017854]","[20.084081653695804, 26.016409366967764, 12.31400542920311]","[array([287.54741537]), array([466.35386564]), array([123.08629206])]","[620.6953498454467, 580.9558798892089, 475.33298458770037]","[24.050295400723815, 22.662907512668717, 20.093973443486977]","[24.913758244099718, 24.103026363699826, 21.802132569721255]","[12.49899731413463, 11.728310105016899, 10.301937341626543]","[array([620.69534985]), array([580.95587989]), array([475.33298459])]"
[1],[1],"[287.4758478586598, 466.3038906059097, 123.08629206416587]","[14.186872216650334, 17.414939858911673, 9.555785055357095]","[16.955112735061945, 21.594070728001, 11.094426171017854]","[20.081474041775966, 26.01503054819702, 12.31400542920311]","[array([287.47584786]), array([466.30389061]), array([123.08629206])]","[620.5440352248928, 580.8225319713272, 475.33298458770037]","[24.047343628134385, 22.66007146594791, 20.093973443486977]","[24.91072129073931, 24.10025999800266, 21.802132569721255]","[12.497472041333383, 11.726833348625368, 10.301937341626543]","[array([620.54403522]), array([580.82253197]), array([475.33298459])]"
[1],[1],"[287.47154299348347, 466.30736374522303, 123.08629206416587]","[14.185780947862122, 17.414364649951562, 9.555785055357095]","[16.954985785705734, 21.594151146669855, 11.094426171017854]","[20.081818904147656, 26.015353591647617, 12.31400542920311]","[array([287.47154299]), array([466.30736375]), array([123.08629206])]","[620.2547014848905, 580.6082998954781, 475.33298458770037]","[24.041454056793924, 22.65541006650815, 20.093973443486977]","[24.904913199706005, 24.095814987160697, 21.802132569721255]","[12.494372104381755, 11.724376515809936, 10.301937341626543]","[array([620.25470148]), array([580.6082999]), array([475.33298459])]"
[1],[1],"[287.5168040351325, 466.3261742719859, 123.08629206416587]","[14.188410236245273, 17.41611049235803, 9.555785055357095]","[16.95632047453493, 21.59458668907525, 11.094426171017854]","[20.08266129849502, 26.015389441655085, 12.31400542920311]","[array([287.51680404]), array([466.32617427]), array([123.08629206])]","[620.7979665445829, 581.1296626580886, 475.33298458770037]","[24.05244520348389, 22.66675377153488, 20.093973443486977]","[24.91581759735335, 24.106631093084918, 21.802132569721255]","[12.500142302516396, 11.73035378953344, 10.301937341626543]","[array([620.79796654]), array([581.12966266]), array([475.33298459])]"
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[4439.130218614882, 5595.2041262365055, 123.08629206416587]","[53.79388228747287, 61.16180534632492, 9.555785055357095]","[66.62679805164647, 74.80109709246587, 11.094426171017854]","[41.26102261858971, 46.95917876909142, 12.31400542920311]","[array([4439.13021861]), array([5595.20412624]), array([123.08629206])]","[17222.761722461873, 20286.30890113978, 475.33298458770037]","[130.22361342039, 141.45952915653822, 20.093973443486977]","[131.2355200487348, 142.43001404598604, 21.802132569721255]","[68.36716296627107, 74.31318751539459, 10.301937341626543]","[array([17222.76172246]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[4439.130218063326, 5595.2041262365055, 123.08629206416587]","[53.79388228273412, 61.16180534632492, 9.555785055357095]","[66.62679804750732, 74.80109709246587, 11.094426171017854]","[41.261022614480495, 46.95917876909142, 12.31400542920311]","[array([4439.13021806]), array([5595.20412624]), array([123.08629206])]","[17222.761716276487, 20286.30890113978, 475.33298458770037]","[130.22361340031264, 141.45952915653822, 20.093973443486977]","[131.23552002516882, 142.43001404598604, 21.802132569721255]","[68.36716295689963, 74.31318751539459, 10.301937341626543]","[array([17222.76171628]), array([20286.30890114]), array([475.33298459])]"
[1],[1],"[5439.034936556078, 6213.529369762845, 123.08629206416587]","[60.08057611088636, 65.5235923243821, 9.555785055357095]","[73.749813128957, 78.8259435069625, 11.094426171017854]","[45.93262749625375, 51.41447428800237, 12.31400542920311]","[array([5439.03493656]), array([6213.52936976]), array([123.08629206])]","[19886.261088790514, 21808.38798421444, 475.33298458770037]","[140.0461374610137, 146.72910192650636, 20.093973443486977]","[141.0186551091398, 147.6766331692812, 21.802132569721255]","[73.56628407978013, 77.10417333836571, 10.301937341626543]","[array([19886.26108879]), array([21808.38798421]), array([475.33298459])]"
[1],[1],"[5439.034936556078, 6213.529369762845, 123.08629206416587]","[60.08057611088636, 65.5235923243821, 9.555785055357095]","[73.749813128957, 78.8259435069625, 11.094426171017854]","[45.93262749625375, 51.41447428800237, 12.31400542920311]","[array([5439.03493656]), array([6213.52936976]), array([123.08629206])]","[19886.261088790514, 21808.38798421444, 475.33298458770037]","[140.0461374610137, 146.72910192650636, 20.093973443486977]","[141.0186551091398, 147.6766331692812, 21.802132569721255]","[73.56628407978013, 77.10417333836571, 10.301937341626543]","[array([19886.26108879]), array([21808.38798421]), array([475.33298459])]"
[1],[1],"[5439.034936556078, 6213.529369762845, 123.08629206416587]","[60.08057611088636, 65.5235923243821, 9.555785055357095]","[73.749813128957, 78.8259435069625, 11.094426171017854]","[45.93262749625375, 51.41447428800237, 12.31400542920311]","[array([5439.03493656]), array([6213.52936976]), array([123.08629206])]","[19886.261088790514, 21808.38798421444, 475.33298458770037]","[140.0461374610137, 146.72910192650636, 20.093973443486977]","[141.0186551091398, 147.6766331692812, 21.802132569721255]","[73.56628407978013, 77.10417333836571, 10.301937341626543]","[array([19886.26108879]), array([21808.38798421]), array([475.33298459])]"
[1],[1],"[5439.034936556078, 6213.529369762845, 123.08629206416587]","[60.08057611088636, 65.5235923243821, 9.555785055357095]","[73.749813128957, 78.8259435069625, 11.094426171017854]","[45.93262749625375, 51.41447428800237, 12.31400542920311]","[array([5439.03493656]), array([6213.52936976]), array([123.08629206])]","[19886.261088790514, 21808.38798421444, 475.33298458770037]","[140.0461374610137, 146.72910192650636, 20.093973443486977]","[141.0186551091398, 147.6766331692812, 21.802132569721255]","[73.56628407978013, 77.10417333836571, 10.301937341626543]","[array([19886.26108879]), array([21808.38798421]), array([475.33298459])]"
[1],[1],"[5103.529323541001, 6008.025119146397, 123.08629206416587]","[57.795239796800935, 64.04979807879141, 9.555785055357095]","[71.43899021921433, 77.5114515355402, 11.094426171017854]","[43.89918877799609, 49.83681308054046, 12.31400542920311]","[array([5103.52932354]), array([6008.02511915]), array([123.08629206])]","[19018.19695626685, 21310.45806963993, 475.33298458770037]","[136.92147909726987, 145.02604653469277, 20.093973443486977]","[137.90647902207803, 145.98101955267998, 21.802132569721255]","[71.91215533194743, 76.20208192439733, 10.301937341626543]","[array([19018.19695627]), array([21310.45806964]), array([475.33298459])]"
[1],[1],"[5103.529323541001, 6008.025119146397, 123.08629206416587]","[57.795239796800935, 64.04979807879141, 9.555785055357095]","[71.43899021921433, 77.5114515355402, 11.094426171017854]","[43.89918877799609, 49.83681308054046, 12.31400542920311]","[array([5103.52932354]), array([6008.02511915]), array([123.08629206])]","[19018.196950642236, 21310.45806963993, 475.33298458770037]","[136.92147907719252, 145.02604653469277, 20.093973443486977]","[137.90647900168517, 145.98101955267998, 21.802132569721255]","[71.91215532155272, 76.20208192439733, 10.301937341626543]","[array([19018.19695064]), array([21310.45806964]), array([475.33298459])]"
[1],[1],"[287.4719958598115, 466.30083389170767, 123.08629206416587]","[14.186538570432846, 17.41476502730805, 9.555785055357095]","[16.954999140660888, 21.593999951183378, 11.094426171017854]","[20.081463490257256, 26.014987222823827, 12.31400542920311]","[array([287.47199586]), array([466.30083389]), array([123.08629206])]","[620.4655040146492, 580.7764707869986, 475.33298458770037]","[24.045757276237797, 22.659080367443593, 20.093973443486977]","[24.90914498762752, 24.099304363134607, 21.802132569721255]","[12.496638160401229, 11.72631278596033, 10.301937341626543]","[array([620.46550401]), array([580.77647079]), array([475.33298459])]"
[1],[1],"[287.49371718482956, 466.3147581505119, 123.08629206416587]","[14.186890498764685, 17.415043353307055, 9.555785055357095]","[16.955639686689192, 21.594322359141348, 11.094426171017854]","[20.082324523993613, 26.015373594692342, 12.31400542920311]","[array([287.49371718]), array([466.31475815]), array([123.08629206])]","[620.4734735874802, 580.813402068332, 475.33298458770037]","[24.045868504779122, 22.659849410412345, 20.093973443486977]","[24.909304959943785, 24.100070582227183, 21.802132569721255]","[12.496686797133831, 11.726711015184705, 10.301937341626543]","[array([620.47347359]), array([580.81340207]), array([475.33298459])]"
[1],[1],"[5103.529323541001, 6008.025119146397, 123.08629206416587]","[57.795239796800935, 64.04979807879141, 9.555785055357095]","[71.43899021921433, 77.5114515355402, 11.094426171017854]","[43.89918877799609, 49.83681308054046, 12.31400542920311]","[array([5103.52932354]), array([6008.02511915]), array([123.08629206])]","[19018.19695626685, 21310.45806963993, 475.33298458770037]","[136.92147909726987, 145.02604653469277, 20.093973443486977]","[137.90647902207803, 145.98101955267998, 21.802132569721255]","[71.91215533194743, 76.20208192439733, 10.301937341626543]","[array([19018.19695627]), array([21310.45806964]), array([475.33298459])]"
[1],[1],"[5103.529323541001, 6008.025119146397, 123.08629206416587]","[57.795239796800935, 64.04979807879141, 9.555785055357095]","[71.43899021921433, 77.5114515355402, 11.094426171017854]","[43.89918877799609, 49.83681308054046, 12.31400542920311]","[array([5103.52932354]), array([6008.02511915]), array([123.08629206])]","[19018.196950642236, 21310.45806963993, 475.33298458770037]","[136.92147907719252, 145.02604653469277, 20.093973443486977]","[137.90647900168517, 145.98101955267998, 21.802132569721255]","[71.91215532155272, 76.20208192439733, 10.301937341626543]","[array([19018.19695064]), array([21310.45806964]), array([475.33298459])]"
[1],[1],"[5103.529323541001, 6008.025119146397, 123.08629206416587]","[57.795239796800935, 64.04979807879141, 9.555785055357095]","[71.43899021921433, 77.5114515355402, 11.094426171017854]","[43.89918877799609, 49.83681308054046, 12.31400542920311]","[array([5103.52932354]), array([6008.02511915]), array([123.08629206])]","[19018.196950642236, 21310.45806963993, 475.33298458770037]","[136.92147907719252, 145.02604653469277, 20.093973443486977]","[137.90647900168517, 145.98101955267998, 21.802132569721255]","[71.91215532155272, 76.20208192439733, 10.301937341626543]","[array([19018.19695064]), array([21310.45806964]), array([475.33298459])]"
[1],[1],"[5130.9939766866355, 7861.986197359257, 805.9571363229522]","[57.980849699313055, 76.84338294210835, 23.506802227566066]","[71.63095683213115, 88.66784195726913, 28.389384218805315]","[44.05657569292381, 64.16009582657955, 35.692946577259576]","[array([5130.99397669]), array([7861.98619736]), array([805.95713632])]","[19087.496843681034, 25482.99691010928, 187.4718427675831]","[137.17386294174588, 158.7467600095688, 10.729230631088742]","[138.1575073735808, 159.6339466094517, 13.692035742269413]","[72.04588203384539, 83.47500338656101, 5.326084548611246]","[array([19087.49684368]), array([25482.99691011]), array([187.47184277])]"
[1],[1],"[382.9537666694503, 2024.1263255667345, 64.89073787887969]","[15.745769011241968, 35.690493271776894, 6.321620407195113]","[19.569204548715064, 44.990291459010734, 8.055478749204152]","[23.550406960225388, 54.64789097664007, 6.076309559150609]","[array([382.95376667]), array([2024.12632557]), array([64.89073788])]","[624.947080392156, 3129.6152357324286, 428.5163967355188]","[23.912002024001982, 53.69074829764508, 19.60189114882209]","[24.998941585438292, 55.94296413073255, 20.700637592487794]","[12.386498230343541, 27.790607282683606, 10.122229729471472]","[array([624.94708039]), array([3129.61523573]), array([428.51639674])]"
[1],[1],"[0.8543777067597903, 0.9738283618693488, 0.03115994898114575]","[0.7294373084456739, 0.7896474184658254, 0.1314582715527982]","[0.9243255415489665, 0.986827422536154, 0.17652180879751303]","[13.291855998114283, 14.427936907708549, 2.4094691573142537]","[array([0.85437771]), array([0.97382836]), array([0.03115995])]","[1.0871320010752406, 1.2313670075580214, 0.04273514279069059]","[0.844230109993727, 0.9116429186613961, 0.15889536459836498]","[1.042656223822234, 1.1096697741030983, 0.20672479965086576]","[15.04744673490825, 16.30763091083284, 2.8383213790404773]","[array([1.087132]), array([1.23136701]), array([0.04273514])]"
[1],[1],"[0.8868313398050917, 0.9824410560714034, 0.8601540783332213]","[0.745446749381895, 0.7934352209167047, 0.7157008063989798]","[0.9417172292175033, 0.9911816463551993, 0.9274449192988343]","[13.599501014174512, 14.508286115908644, 13.039600118977848]","[array([0.88683134]), array([0.98244106]), array([0.86015408])]","[1.1041352289357584, 1.2172944316361078, 1.0951911753532033]","[0.8455827336700821, 0.8981345486640928, 0.8014201127985074]","[1.0507783919246525, 1.103310668685891, 1.0465138199532786]","[15.095922293889869, 16.08101106161182, 14.157883527806172]","[array([1.10413523]), array([1.21729443]), array([1.09519118])]"
[1],[1],"[0.7200142318864391, 0.9848178996846625, 0.29148558440544503]","[0.6934532274988173, 0.7986894541619743, 0.44286676092689653]","[0.8485365236019243, 0.9923799170099435, 0.5398940492406311]","[12.734174163790177, 14.611574569719773, 8.767691753826822]","[array([0.72001423]), array([0.9848179]), array([0.29148558])]","[0.911464649364997, 1.2433238061500456, 0.3291834701532078]","[0.8010148656119368, 0.9216735929129464, 0.47349536578902834]","[0.9547065776273865, 1.1150443068102924, 0.573745126474472]","[14.41175288849045, 16.513605690003246, 8.797314383091583]","[array([0.91146465]), array([1.24332381]), array([0.32918347])]"
[1],[1],"[0.9204074335258263, 0.9247361287126071, 0.4127412978588093]","[0.8157537472991965, 0.7661209273812692, 0.5256012877582787]","[0.9593786705601841, 0.9616320131487965, 0.6424494515981856]","[15.129637764016849, 13.985567876251267, 10.239623330051051]","[array([0.92040743]), array([0.92473613]), array([0.4127413])]","[1.1421456574705373, 1.1725590797960075, 0.48790986993540664]","[0.9291415246376641, 0.8856850967468488, 0.5587082837984699]","[1.0687121490235514, 1.0828476715568112, 0.6985054544779208]","[16.882285681047993, 15.825655978744607, 10.208272521497829]","[array([1.14214566]), array([1.17255908]), array([0.48790987])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[0.9159161520051546, 0.9547912913808182, 0.28431628462793934]","[0.786590996198687, 0.7844655132020291, 0.4301714924875972]","[0.9570350839990949, 0.9771342238304921, 0.5332131699685777]","[14.46755389206138, 14.343299249499564, 8.547136246605524]","[array([0.91591615]), array([0.95479129]), array([0.28431628])]","[1.1330157166598884, 1.202959544345673, 0.32939173926748117]","[0.8976643939274789, 0.9044717420506782, 0.45982533047681695]","[1.06443210993463, 1.0967951241438272, 0.573926597456052]","[16.17501068839636, 16.19494288147985, 8.506559386889787]","[array([1.13301572]), array([1.20295954]), array([0.32939174])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[1.0449013414886361, 0.9078856478115266, 0.043446847521467144]","[0.8956342208178073, 0.762049992968057, 0.15589068628072547]","[1.022204158418775, 0.9528303352704125, 0.20843907388363425]","[16.763830184300325, 13.922673438643807, 2.9361385546995216]","[array([1.04490134]), array([0.90788565]), array([0.04344685])]","[1.2584475201826086, 1.1447332472378673, 0.0574644938144857]","[1.0018275852306748, 0.8759803755686674, 0.16699354492239568]","[1.1218054734144458, 1.0699220753110328, 0.23971752921821488]","[18.357856164761543, 15.656009822381165, 2.9492695670500213]","[array([1.25844752]), array([1.14473325]), array([0.05746449])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[0.26903249077699165, 0.25831402991626734, 0.11699185268050638]","[0.4106679569913869, 0.41621543080120943, 0.2590857025543962]","[0.5186834205726955, 0.5082460328583661, 0.34204071786924195]","[7.685572718287852, 8.163439054055681, 5.0098646425531586]","[array([0.26903249]), array([0.25831403]), array([0.11699185])]","[0.3305599011473381, 0.29610177173632907, 0.16439531821072012]","[0.4213428282731349, 0.4433213721448654, 0.2958633505002588]","[0.5749433895152966, 0.5441523423971719, 0.405456925222298]","[7.415248913331846, 8.15741308536036, 5.363466569920991]","[array([0.3305599]), array([0.29610177]), array([0.16439532])]"
"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 1]",[1],"[0.19415346511757925, 0.35687963378977067, 0.38787300592147855]","[0.36304943603640183, 0.4702674608508984, 0.49433445993255887]","[0.4406284887720939, 0.5973940356161674, 0.6227945134002696]","[7.007686866747028, 8.935074211028914, 9.426409925046716]","[array([0.19415347]), array([0.35687963]), array([0.38787301])]","[0.22271968317967794, 0.4334611335066497, 0.4727275796873454]","[0.374014890301789, 0.5091875814236461, 0.5315295436901759]","[0.4719318628569997, 0.6583776526482727, 0.6875518741792108]","[6.793180451617471, 9.166383656357592, 9.584196087252487]","[array([0.22271968]), array([0.43346113]), array([0.47272758])]"
